Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian
Shorts Lake Dam,Crowders Mtn State Park Dam,,NC01204,,NC01204,"State of North Carolina, State Property Office",State,State,0,No,USDA NRCS,,Recreation,Recreation,North Carolina,GASTO-003,35.21,-81.291,North Carolina,Gaston,"Red River, SC",35,South Crowders Creek,"North Carolina, Congressional District 14",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,19,31,31,25-50 feet,340,,1961,1960-1969,,151,151,120,12,552,660,,,,,,,,,2023-09-25,2023-02-16,,High,Fair,,Yes,2015-04-01,https://damsafety.org/north-carolina,,,No,
Kay Thompson Dam,,,NC01351,,NC01351,Robert E Gilbert,Private,Private,0,No,,,Recreation,Recreation,North Carolina,POLK-011,35.36809,-82.17309,North Carolina,Polk,Cliffside,10,UT to Walnut Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,24,29,29,25-50 feet,286,,,Undetermined,,35,35,20,3,,,,,,,,,,,2023-09-25,2023-02-28,,Significant,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Gregory Lake Dam,,,NC01116,,NC01116,Rickie Day,Private,Private,0,No,,,Irrigation,Irrigation;Recreation;Water Supply,North Carolina,HARNE-056,35.3953,-78.7008,North Carolina,Harnett,Erwin,7,Thorton Creek,"North Carolina, Congressional District 13",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,21,25,25,25-50 feet,540,,1962,1960-1969,,131,131,109,12,38,198,,,,,,,,,2023-09-25,2021-02-09,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,Coharie SDTSA
Mullen Lake Dam,,,NC00915,,NC00915,Tony R Mullen,Private,Private,0,No,,,Recreation,Recreation,North Carolina,NASH-013,35.9186,-78.1832,North Carolina,Nash,Rocky Mount,20,UT to Tar River,"North Carolina, Congressional District 01",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,27,35,35,25-50 feet,475,,1964,1960-1969,,95,95,76,4,,33,,,,,,,,,2023-09-25,2021-01-06,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Pine Lake Dam,,,NC02836,,NC02836,City of Greensboro,Local Government,Local Government,0,No,,,Recreation,Recreation,North Carolina,GUILF-183,36.02417,-79.84278,North Carolina,Guilford,,,South Buffalo Creek,"North Carolina, Congressional District 06",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,10,15,15,Less than 25 feet,192,,,Undetermined,,9,9,6,1.5,25,0,,,,,,,,,2023-09-25,2022-03-02,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Hutton Dam,,,NC02756,,NC02756,"Michael D Freeman Builders, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,GUILF-016,36.0271,-80.0319,North Carolina,Guilford,High Point,1,Hiatt Branch,"North Carolina, Congressional District 06",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,14,14,14,Less than 25 feet,470,,,Undetermined,,37.4,37.4,24,4.22,67,300.4,,,,,,,,,2023-09-25,2022-02-17,,High,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Dickerson Pond Dam,,,NC02740,,NC02740,Scott Dickerson,Private,Private,0,No,,,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",North Carolina,GRANV-107,36.25472,-78.54333,North Carolina,Granville,,,Tabbs Creek-Tr,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,20,25,25,25-50 feet,375,,,Undetermined,,60,60,0,6,0,0,,,,,,,,,2023-09-25,2019-01-07,,Low,Fair,,Not Required,,https://damsafety.org/north-carolina,,,No,
J. L. Fennell Dam,,,NC03344,,NC03344,Nancy F Fennell,Private,Private,0,No,,,Recreation,Recreation,North Carolina,MACON-042,35.2339,-83.4955,North Carolina,Macon,Fontana Lake,25,Younce Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,28,30,30,25-50 feet,125,,,Undetermined,,10,10,0,1.4,0,0,,,,,,,,,2023-09-25,2017-11-28,,Significant,Fair,,Yes,2018-01-09,https://damsafety.org/north-carolina,,,No,
Deaver Millpond Dam,,,NC01429,,NC01429,Steven L Hardy,Private,Private,,No,,,Recreation,Recreation,North Carolina,DUPLI-013,35.1639,-77.9572,North Carolina,Duplin,,,Cape Fear River,"North Carolina, Congressional District 03",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,10,10,Less than 25 feet,,,,Undetermined,,65,65,,,,,,,,,,,,,2023-09-25,2015-02-21,,Low,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
Nw International Dam,Aimcor Dam,,NC01392,,NC01392,Unimin Corporation,Private,Private,,No,,,Other,Other,North Carolina,YANCE-001,35.9667,-82.2833,North Carolina,Yancey,Green Mountain,2.3,Toe River,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,83,88,88,51-100 feet,327,,1969,1960-1969,,30,30,30,2,,,,,,,,,,,2023-09-25,2021-01-14,,Significant,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Shelton Lake Dam #3,,,NC06868,,NC06868,Jay P Selvia,Private,Private,,No,,,Other,Other,North Carolina,FORSY-258,36.1404,-80.3806,North Carolina,Forsyth,,,,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,,,High,,,No,,https://damsafety.org/north-carolina,,,No,
Mckeithan Lake Dam,,,NC03563,,NC03563,Ellis Hawthorne,Private,Private,0,No,,,Other,Other,North Carolina,MOORE-109,35.099,-79.561,North Carolina,Moore,,,Drowning Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,11,15,15,Less than 25 feet,500,,,Undetermined,9999,52,52,30,9,123,,,,,,,,,,2023-09-25,2022-09-23,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Cape Fear 1985 Ash Basin Dam,,,NC06000,,NC06000,Duke Energy Corporation,Public Utility,Public Utility,0,No,,,Flood Risk Reduction,Flood Risk Reduction;Other;Debris Control,North Carolina,CHATH-079,35.5864,-79.0395,North Carolina,Chatham,,,Deep River,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,28,28,25-50 feet,7200,,,Undetermined,,0,0,,60,,,,,,,,,,,2023-09-25,2023-06-14,,High,Fair,,Yes,2021-07-07,https://damsafety.org/north-carolina,,,No,
Pearce Pond Dam,,,NC04597,,NC04597,"Preserve at Jones Dairy, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,WAKE-287,35.9557,-78.4596,North Carolina,Wake,,,Austin Creek,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,15,18,18,Less than 25 feet,300,,,Undetermined,,57,57,33,6,0,0,,,,,,,,,2023-09-25,2018-01-10,,Low,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Third Creek Watershed Dam #20,,,NC00108,,NC00108,Barium Springs Home For Children,Private,Private,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,IREDE-004,35.7281,-80.8831,North Carolina,Iredell,Cleveland,21,Duck Creek,"North Carolina, Congressional District 10",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,1953 Pilot Watershed Program (Public Law 83-156),Earth,Earth,,,,8,27,27,25-50 feet,332,,1958,1950-1959,,359,359,34,6.2,571,330,,,,,,,,,2023-09-25,2023-03-14,,High,Fair,,Yes,2015-10-05,https://damsafety.org/north-carolina,,,No,
Carpenter Dam,,,NC04276,,NC04276,Draughn Family LLC,Private,Private,0,No,,,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",North Carolina,SURRY-046,36.47944,-80.69917,North Carolina,Surry,Dobson,10,Cooks Creek-Tr,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,14,17,17,Less than 25 feet,290,,,Undetermined,,12,12,8,1.2,27,,,,,,,,,,2023-09-25,2023-02-28,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Edwards Pond Dam,Arrowhead Lake Dam,,NC04125,,NC04125,Coharie Woods Property Owners Association,Private,Private,0,No,,,Recreation,Recreation,North Carolina,SAMPS-007,35.0035,-78.3545,North Carolina,Sampson,,,Coharie Creek,"North Carolina, Congressional District 03",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,25,25,25-50 feet,315,,,Undetermined,,20,20,,,,,,,,,,,,,2023-09-25,2023-01-10,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,Coharie SDTSA
Sapphire Lake Lower Dam,,,NC01201,,NC01201,"Sapphire Properties, LP",Private,Private,0,No,,,Recreation,Recreation,North Carolina,JACKS-006,35.108,-83.012,North Carolina,Jackson,Sapphire,2,Horsepasture River,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Arch,,,,20,20,20,Less than 25 feet,145,,1922,1920-1929,,400,400,400,46,,,,,,,,,,,2023-09-25,2021-04-06,,Significant,Fair,,Yes,2020-12-15,https://damsafety.org/north-carolina,,,No,
Tanglewood Forest Dam Lower,Tanglewood Dam #2,,NC01222,,NC01222,Kevin L Carter,Private,Private,0,No,,,Recreation,Recreation,North Carolina,CHERO-016,35.114,-84.024,North Carolina,Cherokee,Murphy,1,Brittian Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,27,30,30,25-50 feet,240,,1965,1960-1969,,100,100,75,8,281,160,,,,,,,,,2023-09-25,2023-01-27,,High,Unsatisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Adcock Lake Dam,Avocet Subdivision Dam,,NC00930,,NC00930,Raven C Vazquez,Private,Private,0,No,,,Irrigation,Irrigation;Recreation,North Carolina,WAKE-064,35.6019,-78.8717,North Carolina,Wake,Duncan,2.7,Kenneth Branch,"North Carolina, Congressional District 13",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,17,27,27,25-50 feet,330,,1954,1950-1959,,60,60,48,3.5,93,33,,,,,,,,,2023-09-25,2022-02-17,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Powhatan,,,NC00359,,NC00359,USDA FS,Federal,Federal,0,No,,No,Fish and Wildlife Pond,Fish and Wildlife Pond;Recreation,Forest Service,081107 0002,35.48344444,-82.62319445,North Carolina,Buncombe,BENT CREEK,2,BENT CREEK,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,Yes,Forest Service,,,,Forest Service,Forest Service,,,No,N/A,Concrete,Concrete;Arch,Concrete,,23,21,23,23,Less than 25 feet,126,17,1942,1940-1949,,79,79,79,13,6,100,Uncontrolled,2,,,,,,,2021-05-17,2017-09-27,1,High,Not Rated,,No,,https://www.fs.usda.gov/eng/dams/,,,No,
Bentwinds Upper Dam,Slaughter Lake Dam,,NC01456,,NC01456,"Bentwinds Golf & Country Club, Inc.",Private,Private,0,No,USDA NRCS,,Recreation,Recreation,North Carolina,WAKE-094,35.6246,-78.7651,North Carolina,Wake,Fuquay-Varina,3.4,Terrible Creek,"North Carolina, Congressional District 13",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,21,25,25,25-50 feet,600,,1977,1970-1979,,152,152,,,,,,,,,,,,,2023-09-25,2022-12-16,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Mcelrath Lake Dam,,,NC03004,,NC03004,Rhonda Streadwick,Private,Private,0,No,,,Recreation,Recreation,North Carolina,HENDE-004,35.42387,-82.63474,North Carolina,Henderson,Mills River,6,Mills River-Tr,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,13,20,20,Less than 25 feet,85,,,Undetermined,,40,40,0,1.5,0,0,,,,,,,,,2023-09-25,2023-01-23,,Significant,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Eden Lake Dam,,,NC01043,,NC01043,Eden Lakes Community Club,Private,Private,0,No,,,Recreation,Recreation,North Carolina,DURHA-027,36.1198,-78.909,North Carolina,Durham,Falls,23,Little River,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,16,20,20,Less than 25 feet,960,,1958,1950-1959,,140,140,115,15,742,96,,,,,,,,,2023-09-25,2021-03-05,,High,Poor,,No,,https://damsafety.org/north-carolina,,,No,
Colvard Farms Dam,,,NC06613,,NC06613,US Army Corps of Engineers Falls Lake,Federal,Federal,,No,,,Other,Other,North Carolina,DURHA-142,35.8651,-78.9745,North Carolina,Chatham,,,UT to New Hope Creek,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,,Other,Other,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,,,High,,,No,,https://damsafety.org/north-carolina,,,No,
Dibrell Dam,,,NC04026,,NC04026,"LND Farm 1, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,ROCKI-190,36.4791,-79.5434,North Carolina,Rockingham,,,Wolf Island Creek,"North Carolina, Congressional District 06",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,30,34,34,25-50 feet,200,,,Undetermined,,68,68,60,5,450,,,,,,,,,,2023-09-25,2018-02-08,,Low,Poor,,No,,https://damsafety.org/north-carolina,,,No,
Darden Dam,,,NC04554,,NC04554,Stephen M Bridges,Private,Private,0,No,,,Recreation,Recreation,North Carolina,WAKE-243,35.9248,-78.7295,North Carolina,Wake,,,Upper Barton Creek-Tr,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,23,26,26,25-50 feet,100,,,Undetermined,,45,45,,4,,,,,,,,,,,2023-09-25,2022-03-22,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Long Hope Club Dam,,,NC01842,,NC01842,"Long Hope Club, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,ASHE-005,36.4044,-81.6223,North Carolina,Ashe,Creston,2,Long Hope Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,20,24,24,Less than 25 feet,200,,,Undetermined,,67,67,34,6.4,5,1830,,,,,,,,,2023-09-25,2022-12-29,,High,Fair,,Yes,2012-06-25,https://damsafety.org/north-carolina,,,No,
Roxboro Afterbay Dam,,,NC00666,,NC00666,Duke Energy Corporation,Public Utility,Public Utility,0,No,,,Other,Other,North Carolina,PERSO-013,36.5223,-78.9972,North Carolina,Person,Denniston,9,Hyco River,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Earth;Gravity,,,,20,68,68,51-100 feet,909,,1974,1970-1979,,27000,27000,12000,650,85,330,,,,,,,,,2023-09-25,2023-04-19,,High,Fair,,Yes,2021-07-15,https://damsafety.org/north-carolina,,,No,
Fairview Wildlife Club Dam,,,NC01481,,NC01481,"Fairview Wildlife Club, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,SURRY-019,36.3264,-80.6985,North Carolina,Surry,Rockford,6,Cody Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,36,43,43,25-50 feet,275,,,Undetermined,,51,51,42.6,3,,,,,,,,,,,2023-09-25,2022-02-08,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Pomona Quarry Dam Lower,,,NC02798,,NC02798,"Martin Marietta Materials, Inc.",Private,Private,0,No,,,Other,Other,North Carolina,GUILF-143,36.055,-79.9286,North Carolina,Guilford,High Point,4,Long Branch,"North Carolina, Congressional District 06",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,25,28,28,25-50 feet,300,,,Undetermined,,78,78,69,7,80,,,,,,,,,,2023-09-25,2023-02-09,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Moore Lake Dam,,,NC01064,,NC01064,Maltonia Fishing Club,Private,Private,0,No,,,Irrigation,Irrigation;Recreation,North Carolina,FRANK-009,35.979,-78.422,North Carolina,Franklin,Lowell Mill,20,Little River,"North Carolina, Congressional District 01",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Masonry,Masonry,,,,17,19,19,Less than 25 feet,185,,1900,1900-1909,,650,650,490,73,3880,660,,,,,,,,,2023-09-25,2023-02-21,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Seven Lakes Dam #2,Lake Sequoia Dam,,NC01562,,NC01562,Seven Lakes Landowners Association,Private,Private,0,No,,,Recreation,Recreation,North Carolina,MOORE-112,35.2839,-79.5573,North Carolina,Moore,Seven Lakes,0,Big Juniper Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,51,54,54,51-100 feet,2100,,1973,1970-1979,,3412,3412,2726,180,940,115,,,,,,,,,2023-09-25,2022-12-13,,High,Fair,,Yes,2021-05-01,https://damsafety.org/north-carolina,,,No,
Young Lake Dam,,,NC01099,,NC01099,Cecila Y Denning,Private,Private,,No,,,Recreation,Recreation,North Carolina,HARNE-048,35.4996,-78.7069,North Carolina,Harnett,Barclaysville,2.2,Black River,"North Carolina, Congressional District 13",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,18,20,20,Less than 25 feet,810,,1870,Before 1900,,389,389,324,40,,330,,,,,,,,,2023-09-25,2023-02-02,,Low,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
Spruce Pine Water Supply Dam #2,,,NC03494,,NC03494,"131 of Chatham, LLC",Local Government,Local Government,,No,,,Water Supply,Water Supply,North Carolina,MITCH-006,35.89153,-82.08474,North Carolina,Mitchell,Spruce Pine,2,Graveyard Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Gravity,,,,26,28,28,25-50 feet,175,,1973,1970-1979,,22,22,18,2,460,,,,,,,,,,2023-09-25,2011-06-30,,Low,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Bells Lake Dam,,,NC04507,,NC04507,Sam Bell,Private,Private,0,No,,,Recreation,Recreation,North Carolina,WAKE-184,35.677,-78.747,North Carolina,Wake,Macks Village,6,Middle Creek-Tr,"North Carolina, Congressional District 13",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,13,16,16,Less than 25 feet,630,,,Undetermined,,70,70,38,8,77,,,,,,,,,,2023-09-25,2019-11-18,,Low,Poor,,Not Required,,https://damsafety.org/north-carolina,,,No,
Smoky Mountain Sanctuary Poa Dam,,,NC05865,,NC05865,Smoky Mountain Santuary HOA,Private,Private,0,No,,,Other,Other,North Carolina,HAYWO-025,35.45779,-82.97688,North Carolina,Haywood,,,Farmers Branch,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,2,40,40,25-50 feet,134,,,Undetermined,,16,16,0,0.4,0,0,,,,,,,,,2023-12-01,2023-05-16,,High,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Gilmore Dam,,,NC03822,,NC03822,Gilmore Plant & Bulb Company,Private,Private,0,No,,,Recreation,Recreation,North Carolina,RANDO-162,35.865,-79.597,North Carolina,Randolph,,,Sandy Ck-Tr,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,22,25,25,25-50 feet,365,,,Undetermined,,61,61,51.8,6,,,,,,,,,,,2023-09-25,2023-02-21,,Low,Fair,,Not Required,,https://damsafety.org/north-carolina,,,No,
King Dam,,,NC03721,,NC03721,Don King,Private,Private,0,No,,,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",North Carolina,RANDO-010,35.59583,-79.80889,North Carolina,Randolph,Asbury,11,Reed Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,16,19,19,Less than 25 feet,450,,,Undetermined,,49.8,49.8,45.6,4,85,,,,,,,,,,2023-09-25,2020-04-08,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Hidden Landing Dam,"Harris Lake Dam, Verndale Dam",,NC03467,,NC03467,"Habitat Charlotte Properties, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,MECKL-100,35.22,-80.74472,North Carolina,Mecklenburg,,,McAlpine Creek,"North Carolina, Congressional District 12",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,13,15,15,Less than 25 feet,150,,,Undetermined,,36,36,32,6.2,97,0,,,,,,,,,2023-09-25,2023-04-05,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Pinecrest High School Dam,,,NC03523,,NC03523,Moore County Board of Education,Local Government,Local Government,0,No,,,Irrigation,Irrigation;Recreation,North Carolina,MOORE-010,35.1832,-79.4342,North Carolina,Moore,Aberdeen,2,Aberdeen Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,16,21,21,Less than 25 feet,500,,,Undetermined,1987,17,17,10,1.6,26,,,,,,,,,,2023-09-25,2023-02-21,,High,Fair,,Yes,2016-01-26,https://damsafety.org/north-carolina,,,No,
Lake Wanteska Dam,,,NC00198,,NC00198,"Connestee Falls POA, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,TRANS-010,35.14798,-82.76758,North Carolina,Transylvania,Powellton,4,Lower Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,63,70,70,51-100 feet,406,,1972,1970-1979,,2300,2300,1700,46,,,,,,,,,,,2023-09-25,2022-03-08,,High,Fair,,Yes,2011-06-01,https://damsafety.org/north-carolina,,,No,
Rutherfordton Wastewater Lagoon Upper Dam,,,NC04114,,NC04114,Town of Rutherfordton,Local Government,Local Government,0,No,,,Other,Other,North Carolina,RUTHE-047,35.3444,-81.9567,North Carolina,Rutherford,Cliffside,7,Cleghorn Creek,"North Carolina, Congressional District 10",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,19,21,21,Less than 25 feet,1487,,,Undetermined,,48,48,36,6,,,,,,,,,,,2023-09-25,2021-04-08,,Significant,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Holly Hill Road Dam,Revelles Pond Dam Lower,,NC03080,,NC03080,Scott M Edwards,Private,Private,0,No,USDA NRCS,,Recreation,Recreation,North Carolina,HERTF-005,36.434,-77.1012,North Carolina,Hertford,,,College Branch,"North Carolina, Congressional District 01",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,9,15,15,Less than 25 feet,200,,,Undetermined,,32,32,15,4.15,218,,,,,,,,,,2023-09-25,2022-03-16,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
