GEOID,E_TOTPOP,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
37037020702,4754,0.1898,0.6232,0.2035,0.3434,0.2867
37037020703,4670,0.0447,0.1768,0.1503,0.142,0.0549
37037020704,2858,0.2822,0.2336,0.4271,0.7334,0.4095
37037020801,4551,0.1519,0.6774,0.514,0.4354,0.3583
37037020802,2465,0.3652,0.2048,0.2753,0.4453,0.3125
37037020803,2495,0.0212,0.8103,0.1567,0.2003,0.1527
37039930101,2443,0.9098,0.7755,0.3493,0.7993,0.8595
37039930102,2130,0.6958,0.4816,0.0963,0.3855,0.5045
37039930200,2125,0.4106,0.3533,0.1979,0.3431,0.3303
37039930300,2527,0.2909,0.6263,0.0914,0.404,0.3496
37039930401,4227,0.6708,0.4044,0.0532,0.5248,0.5098
37039930402,1776,0.8186,0.7327,0.1526,0.8947,0.8049
37039930501,2133,0.3758,0.2673,0.0993,0.5676,0.353
37039930502,3618,0.4989,0.2457,0.2035,0.2624,0.3068
37039930603,1761,0.392,0.4794,0.0162,0.1276,0.228
37039930604,1627,0.8231,0.2927,0.1477,0.2014,0.4519
37039930605,1870,0.5864,0.0769,0.0423,0.0322,0.111
37039930606,2631,0.4015,0.326,0.0026,0.139,0.1996
37041930101,5041,0.7364,0.7565,0.7258,0.7418,0.792
37041930102,2179,0.0773,0.1973,0.5087,0.1003,0.0807
37041930201,4499,0.5583,0.5899,0.4524,0.362,0.5174
37041930202,2116,0.6284,0.4934,0.6091,0.7808,0.692
37043950101,2899,0.5011,0.173,0.2594,0.3847,0.3409
37043950102,2822,0.5807,0.2738,0.0079,0.2654,0.3235
37043950201,2973,0.3295,0.1753,0.0234,0.4627,0.253
37043950202,2492,0.8508,0.5842,0.0944,0.9087,0.7902
37045950101,5608,0.5727,0.4105,0.1858,0.5055,0.4773
37045950102,2357,0.8223,0.4869,0.1197,0.6785,0.6799
37045950200,4470,0.6795,0.3412,0.2625,0.7785,0.6345
37045950301,4339,0.6617,0.2226,0.4271,0.4866,0.4981
37045950302,6515,0.3996,0.0894,0.2613,0.3302,0.2326
37045950400,8016,0.7049,0.958,0.4415,0.8906,0.8648
37045950500,3216,0.8856,0.4051,0.4452,0.5945,0.7167
37045950601,4289,0.7443,0.6861,0.4936,0.4881,0.6814
37045950603,3125,0.2106,0.1628,0.1341,0.769,0.3064
37045950604,3554,0.8962,0.8803,0.2372,0.7084,0.8356
37045950701,4271,0.9186,0.5964,0.7659,0.8546,0.8852
37045950702,3906,0.2481,0.5797,0.5211,0.4381,0.3966
37045950800,4251,0.4364,0.68,0.3017,0.7463,0.6049
37045950900,2721,0.7538,0.9508,0.9075,0.7153,0.875
37045951000,3521,0.2958,0.4033,0.4332,0.7982,0.4936
37045951100,3076,0.6481,0.9788,0.7659,0.5903,0.8087
37045951200,5904,0.8674,0.964,0.6484,0.5093,0.8534
37045951300,3046,0.4583,0.7001,0.4777,0.3389,0.4947
